Date,Day,Price,Open,High,Low,Change %
15-Nov-18,Thur,1213.72,1211.06,1216.52,1208.12,0.22%
14-Nov-18,Wed,1211.06,1203.13,1216.51,1197.94,0.72%
13-Nov-18,Tue,1202.35,1200.96,1205.57,1196.29,0.14%
12-Nov-18,Mon,1200.65,1209.46,1211.45,1200.18,-0.84%
11-Nov-18,Sun,1210.81,1208.41,1210.82,1208.41,0.10%
09-Nov-18,Fri,1209.60,1223.88,1223.97,1206.52,-1.14%
08-Nov-18,Thu,1223.54,1225.99,1227.05,1219.63,-0.21%
07-Nov-18,Wed,1226.11,1227.24,1236.23,1223.31,-0.06%
06-Nov-18,Tue,1226.80,1231.66,1236.31,1223.41,-0.37%
05-Nov-18,Mon,1231.30,1233.36,1235.46,1226.88,-0.23%
04-Nov-18,Sun,1234.17,1233.19,1234.26,1232.70,0.10%
02-Nov-18,Fri,1232.89,1234.04,1236.79,1229.85,-0.03%
01-Nov-18,Thu,1233.23,1215.20,1237.83,1214.84,1.54%
31-Oct-18,Wed,1214.54,1223.00,1223.70,1211.92,-0.73%
30-Oct-18,Tue,1223.44,1230.17,1231.45,1220.22,-0.51%
29-Oct-18,Mon,1229.74,1234.15,1235.79,1224.45,-0.25%
28-Oct-18,Sun,1232.88,1234.53,1234.90,1232.87,-0.06%
26-Oct-18,Fri,1233.59,1232.24,1243.73,1229.80,0.11%
25-Oct-18,Thu,1232.23,1234.59,1239.85,1228.08,-0.16%
24-Oct-18,Wed,1234.22,1231.06,1234.27,1225.74,0.30%
23-Oct-18,Tue,1230.48,1222.32,1240.00,1221.71,0.68%
22-Oct-18,Mon,1222.17,1228.61,1230.18,1220.30,-0.42%
21-Oct-18,Sun,1227.35,1227.38,1228.26,1226.67,0.08%
19-Oct-18,Fri,1226.32,1225.65,1231.08,1223.04,0.05%
18-Oct-18,Thu,1225.75,1222.35,1230.85,1218.78,0.25%
17-Oct-18,Wed,1222.68,1224.08,1229.90,1220.32,-0.14%
16-Oct-18,Tue,1224.43,1227.12,1232.77,1223.35,-0.20%
15-Oct-18,Mon,1226.93,1217.45,1233.65,1217.40,0.62%
14-Oct-18,Sun,1219.33,1217.35,1220.35,1216.98,0.11%
12-Oct-18,Fri,1217.93,1224.17,1224.45,1215.61,-0.52%
11-Oct-18,Thu,1224.33,1195.01,1226.87,1191.30,2.47%
10-Oct-18,Wed,1194.78,1189.59,1195.19,1185.22,0.43%
09-Oct-18,Tue,1189.62,1189.01,1192.23,1183.49,0.14%
08-Oct-18,Mon,1188.01,1203.14,1204.48,1183.58,-1.32%
07-Oct-18,Sun,1203.85,1203.31,1204.12,1202.93,0.08%
05-Oct-18,Fri,1202.86,1199.41,1206.18,1197.01,0.27%
04-Oct-18,Thu,1199.66,1197.35,1207.11,1195.76,0.19%
03-Oct-18,Wed,1197.37,1203.39,1208.77,1196.71,-0.48%
02-Oct-18,Tue,1203.10,1189.20,1208.65,1188.57,1.23%
01-Oct-18,Mon,1188.46,1192.55,1192.95,1184.94,-0.21%
30-Sep-18,Sun,1190.99,1192.51,1192.53,1190.81,-0.09%
28-Sep-18,Fri,1192.09,1183.21,1194.00,1180.74,0.79%
27-Sep-18,Thu,1182.80,1194.80,1198.94,1181.98,-0.98%
26-Sep-18,Wed,1194.46,1201.23,1202.84,1190.53,-0.57%
25-Sep-18,Tue,1201.31,1198.84,1203.71,1197.21,0.20%
24-Sep-18,Mon,1198.86,1198.56,1204.48,1194.23,0.07%
23-Sep-18,Sun,1198.05,1199.19,1199.38,1197.16,-0.13%
21-Sep-18,Fri,1199.55,1207.52,1211.47,1191.96,-0.66%
20-Sep-18,Thu,1207.58,1204.16,1209.14,1201.47,0.30%
19-Sep-18,Wed,1203.98,1197.84,1206.53,1197.81,0.47%
18-Sep-18,Tue,1198.35,1202.14,1204.28,1196.21,-0.21%
17-Sep-18,Mon,1200.93,1193.18,1205.20,1192.97,0.62%
16-Sep-18,Sun,1193.48,1194.38,1194.86,1193.15,-0.02%
14-Sep-18,Fri,1193.71,1201.76,1208.98,1193.13,-0.64%
13-Sep-18,Thu,1201.44,1207.30,1213.39,1200.37,-0.39%
12-Sep-18,Wed,1206.19,1198.93,1209.22,1192.90,0.66%
11-Sep-18,Tue,1198.29,1195.73,1200.12,1187.95,0.20%
